"Institute","tDate","未平倉","淨增減"
"自營商","2015-01-26","-2517.0","1495.0"
"自營商","2015-01-23","-4012.0","-1823.0"
"自營商","2015-01-22","-2189.0","766.0"
"自營商","2015-01-21","-2955.0","-573.0"
"自營商","2015-01-20","-2382.0","-2350.0"
