"Institute","tDate","買","賣"
"合計","2015-01-16","39677.0","50629.0"
"合計","2015-01-15","28703.0","32235.0"
"合計","2015-01-14","30697.0","37757.0"
"合計","2015-01-13","34540.0","31708.0"
"合計","2015-01-12","24378.0","25210.0"
