"SKName","tDate","買","賣"
"臺股期貨","2015-01-23","14567.0","16292.0"
"臺股期貨","2015-01-22","16568.0","15971.0"
"臺股期貨","2015-01-21","26869.0","25740.0"
"臺股期貨","2015-01-20","24171.0","26474.0"
"臺股期貨","2015-01-19","26931.0","25652.0"
