"SKName","tDate","買","賣"
"臺股期貨(TX+MTX/4)","2015-01-23","30075.0","19418.0"
"臺股期貨(TX+MTX/4)","2015-01-22","28870.0","20220.0"
"臺股期貨(TX+MTX/4)","2015-01-21","26471.0","21231.0"
"臺股期貨(TX+MTX/4)","2015-01-20","14333.0","8066.0"
"臺股期貨(TX+MTX/4)","2015-01-19","15079.0","11500.0"
