"Institute","tDate","買","賣"
"投信","2015-01-16","1796.0","1996.0"
"投信","2015-01-15","1281.0","1266.0"
"投信","2015-01-14","1182.0","1041.0"
"投信","2015-01-13","1611.0","1555.0"
"投信","2015-01-12","1696.0","1693.0"
