"融券","tDate","買","賣"
"融券","2015-01-26","29470.0","38722.0"
"融券","2015-01-23","26324.0","33017.0"
"融券","2015-01-22","34945.0","42603.0"
"融券","2015-01-21","40579.0","45842.0"
"融券","2015-01-20","32911.0","38780.0"
