"Institute","tDate","法人","交易類別","金額"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易特定法人","賣","19418.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易特定法人","賣","21045.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易非特定法人","買","2984.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易非特定法人","買","1135.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易非特定法人","買","3252.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易非特定法人","買","1011.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易非特定法人","買","726.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易非特定法人","買","0.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易非特定法人","買","0.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易非特定法人","買","0.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易非特定法人","買","0.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易非特定法人","賣","7714.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易非特定法人","賣","6028.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易非特定法人","賣","4500.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易非特定法人","賣","5362.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易非特定法人","賣","7727.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易非特定法人","賣","877.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易非特定法人","賣","1150.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易非特定法人","賣","2572.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易非特定法人","賣","1478.0"
"臺指選擇權CALL","2015-01-14","前十大交易人","買","75343.0"
"臺指選擇權CALL","2015-01-15","前十大交易人","買","86777.0"
"臺指選擇權CALL","2015-01-16","前十大交易人","買","84935.0"
"臺指選擇權CALL","2015-01-19","前十大交易人","買","88330.0"
"臺指選擇權CALL","2015-01-20","前十大交易人","買","85634.0"
"臺指選擇權CALL","2015-01-21","前十大交易人","買","49198.0"
"臺指選擇權CALL","2015-01-22","前十大交易人","買","58140.0"
"臺指選擇權CALL","2015-01-14","前十大交易人","賣","73986.0"
"臺指選擇權CALL","2015-01-15","前十大交易人","賣","93370.0"
"臺指選擇權CALL","2015-01-16","前十大交易人","賣","109733.0"
"臺指選擇權CALL","2015-01-19","前十大交易人","賣","116336.0"
"臺指選擇權CALL","2015-01-20","前十大交易人","賣","112452.0"
"臺指選擇權CALL","2015-01-21","前十大交易人","賣","25774.0"
"臺指選擇權CALL","2015-01-22","前十大交易人","賣","28589.0"
"臺指選擇權CALL","2015-01-14","前十大交易特定法人","買","19068.0"
"臺指選擇權CALL","2015-01-15","前十大交易特定法人","買","15403.0"
"臺指選擇權CALL","2015-01-16","前十大交易特定法人","買","15256.0"
"臺指選擇權CALL","2015-01-19","前十大交易特定法人","買","15256.0"
"臺指選擇權CALL","2015-01-20","前十大交易特定法人","買","21472.0"
"臺指選擇權CALL","2015-01-21","前十大交易特定法人","買","5666.0"
"臺指選擇權CALL","2015-01-22","前十大交易特定法人","買","8828.0"
"臺指選擇權CALL","2015-01-14","前十大交易特定法人","賣","0.0"
"臺指選擇權CALL","2015-01-15","前十大交易特定法人","賣","0.0"
"臺指選擇權CALL","2015-01-16","前十大交易特定法人","賣","0.0"
"臺指選擇權CALL","2015-01-19","前十大交易特定法人","賣","0.0"
"臺指選擇權CALL","2015-01-20","前十大交易特定法人","賣","0.0"
"臺指選擇權CALL","2015-01-21","前十大交易特定法人","賣","4142.0"
"臺指選擇權CALL","2015-01-22","前十大交易特定法人","賣","2232.0"
"臺指選擇權CALL","2015-01-14","前十大交易非特定法人","買","56275.0"
"臺指選擇權CALL","2015-01-15","前十大交易非特定法人","買","71374.0"
"臺指選擇權CALL","2015-01-16","前十大交易非特定法人","買","69679.0"
"臺指選擇權CALL","2015-01-19","前十大交易非特定法人","買","73074.0"
"臺指選擇權CALL","2015-01-20","前十大交易非特定法人","買","64162.0"
"臺指選擇權CALL","2015-01-21","前十大交易非特定法人","買","43532.0"
"臺指選擇權CALL","2015-01-22","前十大交易非特定法人","買","49312.0"
"臺指選擇權CALL","2015-01-14","前十大交易非特定法人","賣","73986.0"
"臺指選擇權CALL","2015-01-15","前十大交易非特定法人","賣","93370.0"
"臺指選擇權CALL","2015-01-16","前十大交易非特定法人","賣","109733.0"
"臺指選擇權CALL","2015-01-19","前十大交易非特定法人","賣","116336.0"
"臺指選擇權CALL","2015-01-20","前十大交易非特定法人","賣","112452.0"
"臺指選擇權CALL","2015-01-21","前十大交易非特定法人","賣","21632.0"
"臺指選擇權CALL","2015-01-22","前十大交易非特定法人","賣","26357.0"
"臺指選擇權PUT","2015-01-14","前十大交易人","買","135063.0"
"臺指選擇權PUT","2015-01-15","前十大交易人","買","148914.0"
"臺指選擇權PUT","2015-01-16","前十大交易人","買","150495.0"
"臺指選擇權PUT","2015-01-19","前十大交易人","買","159439.0"
"臺指選擇權PUT","2015-01-20","前十大交易人","買","185544.0"
"臺指選擇權PUT","2015-01-21","前十大交易人","買","43032.0"
"臺指選擇權PUT","2015-01-22","前十大交易人","買","44388.0"
"臺指選擇權PUT","2015-01-14","前十大交易人","賣","133783.0"
"臺指選擇權PUT","2015-01-15","前十大交易人","賣","151504.0"
"臺指選擇權PUT","2015-01-16","前十大交易人","賣","154810.0"
"臺指選擇權PUT","2015-01-19","前十大交易人","賣","154764.0"
"臺指選擇權PUT","2015-01-20","前十大交易人","賣","141731.0"
"臺指選擇權PUT","2015-01-21","前十大交易人","賣","46864.0"
"臺指選擇權PUT","2015-01-22","前十大交易人","賣","52832.0"
"臺指選擇權PUT","2015-01-14","前十大交易特定法人","買","0.0"
"臺指選擇權PUT","2015-01-15","前十大交易特定法人","買","0.0"
"臺指選擇權PUT","2015-01-16","前十大交易特定法人","買","0.0"
"臺指選擇權PUT","2015-01-19","前十大交易特定法人","買","0.0"
"臺指選擇權PUT","2015-01-20","前十大交易特定法人","買","0.0"
"臺指選擇權PUT","2015-01-21","前十大交易特定法人","買","3987.0"
"臺指選擇權PUT","2015-01-22","前十大交易特定法人","買","4036.0"
"臺指選擇權PUT","2015-01-14","前十大交易特定法人","賣","70916.0"
"臺指選擇權PUT","2015-01-15","前十大交易特定法人","賣","63904.0"
"臺指選擇權PUT","2015-01-16","前十大交易特定法人","賣","72526.0"
"臺指選擇權PUT","2015-01-19","前十大交易特定法人","賣","73999.0"
"臺指選擇權PUT","2015-01-20","前十大交易特定法人","賣","74099.0"
"臺指選擇權PUT","2015-01-21","前十大交易特定法人","賣","23468.0"
"臺指選擇權PUT","2015-01-22","前十大交易特定法人","賣","25970.0"
"臺指選擇權PUT","2015-01-14","前十大交易非特定法人","買","135063.0"
"臺指選擇權PUT","2015-01-15","前十大交易非特定法人","買","148914.0"
"臺指選擇權PUT","2015-01-16","前十大交易非特定法人","買","150495.0"
"臺指選擇權PUT","2015-01-19","前十大交易非特定法人","買","159439.0"
"臺指選擇權PUT","2015-01-20","前十大交易非特定法人","買","185544.0"
"臺指選擇權PUT","2015-01-21","前十大交易非特定法人","買","39045.0"
"臺指選擇權PUT","2015-01-22","前十大交易非特定法人","買","40352.0"
"臺指選擇權PUT","2015-01-14","前十大交易非特定法人","賣","62867.0"
"臺指選擇權PUT","2015-01-15","前十大交易非特定法人","賣","87600.0"
"臺指選擇權PUT","2015-01-16","前十大交易非特定法人","賣","82284.0"
"臺指選擇權PUT","2015-01-19","前十大交易非特定法人","賣","80765.0"
"臺指選擇權PUT","2015-01-20","前十大交易非特定法人","賣","67632.0"
"臺指選擇權PUT","2015-01-21","前十大交易非特定法人","賣","23396.0"
"臺指選擇權PUT","2015-01-22","前十大交易非特定法人","賣","26862.0"
