"SKName","tDate","買","賣"
"臺股期貨(TX+MTX/4)","2015-01-23","0.0","2572.0"
"臺股期貨(TX+MTX/4)","2015-01-22","0.0","1150.0"
"臺股期貨(TX+MTX/4)","2015-01-21","0.0","877.0"
"臺股期貨(TX+MTX/4)","2015-01-20","726.0","7727.0"
"臺股期貨(TX+MTX/4)","2015-01-19","1011.0","5362.0"
