"Institute","tDate","買","賣"
"外資及陸資","2015-01-16","31179.0","39378.0"
"外資及陸資","2015-01-15","20983.0","24568.0"
"外資及陸資","2015-01-14","23071.0","29680.0"
"外資及陸資","2015-01-13","25651.0","22962.0"
"外資及陸資","2015-01-12","16200.0","16413.0"
