"融資","tDate","買","賣"
"融資","2015-01-26","7027127.0","6628525.0"
"融資","2015-01-23","9019819.0","9598195.0"
"融資","2015-01-22","7850019.0","8065544.0"
"融資","2015-01-21","7481922.0","8012022.0"
"融資","2015-01-20","7090974.0","6975392.0"
