"tDate","F_Balance","F_Lend","F_Return","F_Balance_Value"
"2015-01-15","8488342000.0","130806000.0","116928000.0","329026119160.0"
"2015-01-16","8520198000.0","99068000.0","67212000.0","327830212100.0"
"2015-01-19","8532321000.0","151961000.0","139838000.0","329011207420.0"
"2015-01-20","8482150000.0","156583000.0","206754000.0","328881797770.0"
"2015-01-21","8490029000.0","87681000.0","79802000.0","329818118930.0"
"2015-01-22","8542007000.0","113100000.0","61122000.0","333544804100.0"
"2015-01-23","8530361000.0","128036000.0","139692000.0","336850388140.0"
"2015-01-26","8501046000.0","58784000.0","88099000.0","337216866350.0"
