"Institute","tDate","買","賣"
"自營商(避險)","2015-01-16","5507.0","7268.0"
"自營商(避險)","2015-01-15","5384.0","5311.0"
"自營商(避險)","2015-01-14","5262.0","6084.0"
"自營商(避險)","2015-01-13","5847.0","5819.0"
"自營商(避險)","2015-01-12","5346.0","6233.0"
