"Institute","tDate","買","賣"
"合計","2015-01-26","35776.0","26333.0"
"合計","2015-01-23","50734.0","28329.0"
"合計","2015-01-22","40180.0","26775.0"
"合計","2015-01-21","45716.0","28710.0"
"合計","2015-01-20","32077.0","22693.0"
