"SKName","tDate","Institute","交易類別","金額"
"臺股現貨","2015-01-20","自營商(避險)","買賣超","6.69"
"臺股現貨","2015-01-21","外資及陸資","買賣超","172.23"
"臺股現貨","2015-01-21","投信","買賣超","-0.57"
"臺股現貨","2015-01-21","自營商(自行買賣)","買賣超","2.3"
"臺股現貨","2015-01-21","自營商(避險)","買賣超","-3.9"
"臺股現貨","2015-01-22","外資及陸資","買賣超","119.35"
"臺股現貨","2015-01-22","投信","買賣超","6.24"
"臺股現貨","2015-01-22","自營商(自行買賣)","買賣超","6.01"
"臺股現貨","2015-01-22","自營商(避險)","買賣超","2.45"
"臺股現貨","2015-01-23","外資及陸資","買賣超","212.82"
"臺股現貨","2015-01-23","投信","買賣超","2.11"
"臺股現貨","2015-01-23","自營商(自行買賣)","買賣超","3.83"
"臺股現貨","2015-01-23","自營商(避險)","買賣超","5.3"
"臺股現貨","2015-01-26","外資及陸資","買賣超","90.33"
"臺股現貨","2015-01-26","投信","買賣超","2.03"
"臺股現貨","2015-01-26","自營商(自行買賣)","買賣超","2.25"
"臺股現貨","2015-01-26","自營商(避險)","買賣超","-0.17"
"臺股現貨","2015-01-14","三大法人","買","306.97"
"臺股現貨","2015-01-15","三大法人","買","287.03"
"臺股現貨","2015-01-16","三大法人","買","396.77"
"臺股現貨","2015-01-19","三大法人","買","327.59"
"臺股現貨","2015-01-20","三大法人","買","320.77"
"臺股現貨","2015-01-21","三大法人","買","457.16"
"臺股現貨","2015-01-22","三大法人","買","401.8"
"臺股現貨","2015-01-23","三大法人","買","507.34"
"臺股現貨","2015-01-26","三大法人","買","357.76"
"臺股現貨","2015-01-14","三大法人","賣","377.57"
"臺股現貨","2015-01-15","三大法人","賣","322.35"
"臺股現貨","2015-01-16","三大法人","賣","506.29"
"臺股現貨","2015-01-19","三大法人","賣","262.92"
"臺股現貨","2015-01-20","三大法人","賣","226.93"
"臺股現貨","2015-01-21","三大法人","賣","287.1"
"臺股現貨","2015-01-22","三大法人","賣","267.75"
"臺股現貨","2015-01-23","三大法人","賣","283.29"
"臺股現貨","2015-01-26","三大法人","賣","263.33"
"臺股現貨","2015-01-14","三大法人","買賣超","-70.6"
"臺股現貨","2015-01-15","三大法人","買賣超","-35.32"
"臺股現貨","2015-01-16","三大法人","買賣超","-109.52"
"臺股現貨","2015-01-19","三大法人","買賣超","64.67"
"臺股現貨","2015-01-20","三大法人","買賣超","93.84"
"臺股現貨","2015-01-21","三大法人","買賣超","170.06"
"臺股現貨","2015-01-22","三大法人","買賣超","134.05"
"臺股現貨","2015-01-23","三大法人","買賣超","224.05"
"臺股現貨","2015-01-26","三大法人","買賣超","94.43"
"臺股現貨","2015-01-14","融資","買","7977564.0"
"臺股現貨","2015-01-15","融資","買","8102375.0"
"臺股現貨","2015-01-16","融資","買","9021806.0"
"臺股現貨","2015-01-19","融資","買","6997550.0"
"臺股現貨","2015-01-20","融資","買","7090974.0"
"臺股現貨","2015-01-21","融資","買","7481922.0"
"臺股現貨","2015-01-22","融資","買","7850019.0"
"臺股現貨","2015-01-23","融資","買","9019819.0"
